Cancer Types,Count
Cancer,9043
Breast Cancer,1689
Lung Cancer,883
Colon Cancer,782
Leukemia,622
Hepatocellular Cancer,607
Colorectal Cancer,535
Rectal Cancer,529
Melanoma,523
Blastoma,421
Liver Cancer,345
Sarcoma,311
Gastric Cancer,305
Carcinogenesis,301
Small Cell Lung Cancer,231
Glioblastoma,228
Lymphoma,227
Ovarian Cancer,224
Cervical Cancer,222
Pancreatic Cancer,215
Non-Small Cell Lung Cancer,212
Skin Cancer,153
Neuroblastoma,141
Osteosarcoma,124
Oral Cancer,122
Bladder Cancer,94
Ehrlich Ascites Cancer,85
Brain Cancer,73
Nasopharyngeal Cancer,73
Acute Myeloid Leukemia,58
Multiple Myeloma,53
Esophageal Cancer,49
Rectal Adenocancer,47
Acute Lymphoblastic Leukemia,45
Cholangiocancer,41
Intestinal Cancer,38
Breast Cancercancer,37
Stomach Cancer,34
Head And Neck Cancer,34
Retinoblastoma,31
Thyroid Cancer,30
Chronic Myelogenous Leukemia,27
Metastatic,21
Bone Cancer,20
Carcinogenesiscancer,14
Rhabdomyosarcoma,14
Cervix Cancer,13
Mammary Gland,13
Chronic Lymphocytic Leukemia,12
Epithelial Cancer,11
Hodgkin Lymphoma,10
Non-Hodgkin Lymphoma,10
Laryngeal Cancer,10
Cancerigenesis,9
Uterine Cancer,9
Kidney Cancer,8
Pheochromocytoma,8
Burkitt Lymphoma,8
Endometrial Cancer,8
Mesothelioma,7
Ewing Sarcoma,6
Astrocytomas,6
Bladder Cancercancer,6
Rectal Cancercancerigenesis,6
Oral Squamous Cancer,5
Gallbladder Cancer,5
Colon Cancercancerigenesis,4
Metastatic Cancer,3
Thymoma,3
Lung Cancercancerigenesis,3
Kaposi Sarcoma,3
Breast Cancercancerigenesis,3
Neck Squamous Cancer,3
Testicular Cancer,2
Myelodysplastic Syndromes,2
Renal Cell Cancer,2
Placental Choriocancer,2
Throat Cancer,2
Cancercancerigenesis,2
Germ Cell Cancer,2
Cancer Of Bladder,1
Skin Cancercancerigenesis,1
Bile Duct Cancer,1
Intestinal Cancercancerigenesis,1
Neuroendocrine Cancers,1
Chordoma,1
Squamous Cell Cancer Of The Skin,1
Cutaneous T-Cell Lymphoma,1
Hepatocellular Cancercancerigenesis,1
Lymphoid Neoplasm,1
Forestomach Cancer,1
Liver Cancercancerigenesis,1
Pituitary Cancer,1
Adrenocortical Cancer,1
Oropharyngeal Cancer,1
Gynecologic Cancer,1
Mouth Cancer,1
Vulvar Cancer,1
