Cancer Types,Count
Cancer,9581
Breast Cancer,1726
Lung Cancer,883
Colon Cancer,807
Leukemia,622
Hepatocellular Cancer,610
Colorectal Cancer,535
Rectal Cancer,529
Melanoma,523
Blastoma,421
Liver Cancer,345
Sarcoma,311
Gastric Cancer,305
Carcinogenesis,301
Small Cell Lung Cancer,231
Glioblastoma,228
Lymphoma,227
Ovarian Cancer,224
Cervical Cancer,222
Pancreatic Cancer,215
Non-Small Cell Lung Cancer,212
Skin Cancer,153
Neuroblastoma,141
Oral Cancer,126
Osteosarcoma,124
Bladder Cancer,100
Brain Cancer,96
Ehrlich Ascites Cancer,85
Nasopharyngeal Cancer,74
Acute Myeloid Leukemia,58
Multiple Myeloma,53
Esophageal Cancer,49
Rectal Adenocancer,47
Acute Lymphoblastic Leukemia,45
Cholangiocancer,41
Intestinal Cancer,38
Head And Neck Cancer,34
Stomach Cancer,34
Retinoblastoma,31
Thyroid Cancer,30
Chronic Myelogenous Leukemia,27
Metastatic,21
Bone Cancer,20
Rhabdomyosarcoma,14
Carcinogenesiscancer,14
Mammary Gland,13
Cervix Cancer,13
Chronic Lymphocytic Leukemia,12
Cancerigenesis,11
Epithelial Cancer,11
Laryngeal Cancer,10
Non-Hodgkin Lymphoma,10
Hodgkin Lymphoma,10
Uterine Cancer,9
Kidney Cancer,8
Pheochromocytoma,8
Endometrial Cancer,8
Burkitt Lymphoma,8
Mesothelioma,7
Rectal Cancerigenesis,6
Ewing Sarcoma,6
Astrocytomas,6
Gallbladder Cancer,5
Oral Squamous Cancer,5
Colon Cancerigenesis,4
Thymoma,3
Neck Squamous Cancer,3
Lung Cancerigenesis,3
Kaposi Sarcoma,3
Breast Cancerigenesis,3
Metastatic Cancer,3
Myelodysplastic Syndromes,2
Renal Cell Cancer,2
Testicular Cancer,2
Placental Choriocancer,2
Germ Cell Cancer,2
Throat Cancer,2
Skin Cancerigenesis,1
Squamous Cell Cancer Of The Skin,1
Intestinal Cancerigenesis,1
Neuroendocrine Cancers,1
Chordoma,1
Cancer Of Bladder,1
Cutaneous T-Cell Lymphoma,1
Bile Duct Cancer,1
Hepatocellular Cancerigenesis,1
Lymphoid Neoplasm,1
Forestomach Cancer,1
Liver Cancerigenesis,1
Pituitary Cancer,1
Adrenocortical Cancer,1
Oropharyngeal Cancer,1
Gynecologic Cancer,1
Mouth Cancer,1
Vulvar Cancer,1
